Hora;Potencia (W);Fecha
18:16:09;35,156;2018-02-01
18:16:13;32,227;2018-02-01
18:16:17;38,086;2018-02-01
18:16:20;32,227;2018-02-01
18:16:24;23,438;2018-02-01
18:16:31;32,227;2018-02-01
18:16:35;29,297;2018-02-01
18:16:39;26,367;2018-02-01
18:16:43;23,438;2018-02-01
18:16:46;23,438;2018-02-01
18:16:50;26,367;2018-02-01
18:16:54;26,367;2018-02-01
18:16:57;23,438;2018-02-01
18:17:01;26,367;2018-02-01
18:17:08;23,438;2018-02-01
18:17:05;23,438;2018-02-01
18:17:16;23,438;2018-02-01
18:17:20;29,297;2018-02-01
18:17:12;26,367;2018-02-01
18:17:23;23,438;2018-02-01
18:17:27;23,438;2018-02-01
18:17:31;26,367;2018-02-01
18:17:34;26,367;2018-02-01
18:17:38;26,367;2018-02-01
18:17:42;26,367;2018-02-01
18:17:45;23,438;2018-02-01
18:17:49;23,438;2018-02-01
18:17:53;35,156;2018-02-01
18:18:00;23,438;2018-02-01
18:17:57;20,508;2018-02-01
18:18:04;26,367;2018-02-01
18:18:11;23,438;2018-02-01
18:18:15;20,508;2018-02-01
18:18:08;26,367;2018-02-01
18:18:19;20,508;2018-02-01
18:18:22;26,367;2018-02-01
18:18:26;20,508;2018-02-01
18:18:30;23,438;2018-02-01
18:18:34;26,367;2018-02-01
18:18:37;23,438;2018-02-01
18:18:45;23,438;2018-02-01
18:18:41;20,508;2018-02-01
18:18:48;26,367;2018-02-01
18:18:56;26,367;2018-02-01
18:19:03;35,156;2018-02-01
18:19:07;26,367;2018-02-01
18:19:11;26,367;2018-02-01
18:19:14;29,297;2018-02-01
18:19:18;20,508;2018-02-01
18:19:22;20,508;2018-02-01
18:19:25;23,438;2018-02-01
18:19:29;20,508;2018-02-01
18:19:33;26,367;2018-02-01
18:19:40;35,156;2018-02-01
18:19:44;26,367;2018-02-01
18:19:48;20,508;2018-02-01
18:19:51;23,438;2018-02-01
18:19:59;26,367;2018-02-01
18:19:55;23,438;2018-02-01
18:20:02;23,438;2018-02-01
18:20:06;23,438;2018-02-01
18:20:10;26,367;2018-02-01
18:20:14;20,508;2018-02-01
18:20:17;23,438;2018-02-01
18:20:21;23,438;2018-02-01
18:20:25;29,297;2018-02-01
18:20:28;20,508;2018-02-01
18:20:32;23,438;2018-02-01
18:20:36;23,438;2018-02-01
18:20:39;23,438;2018-02-01
18:20:43;23,438;2018-02-01
18:20:47;20,508;2018-02-01
18:20:51;23,438;2018-02-01
18:20:54;61,523;2018-02-01
18:20:58;43,945;2018-02-01
18:21:02;23,438;2018-02-01
18:21:05;23,438;2018-02-01
18:21:09;23,438;2018-02-01
18:21:13;17,578;2018-02-01
18:21:20;23,438;2018-02-01
18:21:24;23,438;2018-02-01
18:21:28;23,438;2018-02-01
18:21:31;23,438;2018-02-01
18:21:39;23,438;2018-02-01
18:21:35;20,508;2018-02-01
18:21:46;26,367;2018-02-01
18:21:42;23,438;2018-02-01
18:21:50;23,438;2018-02-01
18:21:54;23,438;2018-02-01
18:21:57;23,438;2018-02-01
18:22:01;20,508;2018-02-01
18:22:05;32,227;2018-02-01
18:22:19;20,508;2018-02-01
18:22:12;23,438;2018-02-01
18:22:27;23,438;2018-02-01
18:22:23;23,438;2018-02-01
18:22:31;23,438;2018-02-01
18:22:34;26,367;2018-02-01
18:22:38;26,367;2018-02-01
18:22:42;26,367;2018-02-01
18:22:45;29,297;2018-02-01
18:22:49;23,438;2018-02-01
18:22:53;20,508;2018-02-01
18:22:56;23,438;2018-02-01
18:23:08;26,367;2018-02-01
18:23:11;26,367;2018-02-01
18:23:19;20,508;2018-02-01
18:23:15;20,508;2018-02-01
18:23:22;20,508;2018-02-01
18:23:26;26,367;2018-02-01
18:23:30;20,508;2018-02-01
18:23:33;20,508;2018-02-01
18:23:37;20,508;2018-02-01
18:23:45;23,438;2018-02-01
18:23:41;26,367;2018-02-01
18:23:52;20,508;2018-02-01
18:23:56;20,508;2018-02-01
18:23:59;20,508;2018-02-01
18:24:03;23,438;2018-02-01
18:24:11;23,438;2018-02-01
18:24:07;23,438;2018-02-01
18:24:14;20,508;2018-02-01
18:24:18;20,508;2018-02-01
18:24:22;23,438;2018-02-01
18:24:29;20,508;2018-02-01
18:24:33;20,508;2018-02-01
18:24:36;23,438;2018-02-01
18:24:25;20,508;2018-02-01
18:24:40;20,508;2018-02-01
18:24:44;20,508;2018-02-01
18:24:48;23,438;2018-02-01
18:24:51;20,508;2018-02-01
18:24:55;20,508;2018-02-01
18:24:59;23,438;2018-02-01
18:25:02;26,367;2018-02-01
18:25:06;20,508;2018-02-01
18:25:10;26,367;2018-02-01
18:25:13;20,508;2018-02-01
18:25:25;17,578;2018-02-01
18:25:32;23,438;2018-02-01
18:25:28;23,438;2018-02-01
18:25:36;23,438;2018-02-01
18:25:39;23,438;2018-02-01
18:25:47;23,438;2018-02-01
18:25:50;20,508;2018-02-01
18:25:43;23,438;2018-02-01
18:25:54;29,297;2018-02-01
18:25:58;23,438;2018-02-01
18:26:02;23,438;2018-02-01
18:26:05;23,438;2018-02-01
18:26:09;23,438;2018-02-01
18:26:13;20,508;2018-02-01
18:26:16;26,367;2018-02-01
18:26:20;23,438;2018-02-01
18:26:24;20,508;2018-02-01
18:26:27;23,438;2018-02-01
18:26:31;23,438;2018-02-01
18:26:39;23,438;2018-02-01
18:26:35;20,508;2018-02-01
18:26:46;23,438;2018-02-01
18:26:42;23,438;2018-02-01
18:26:50;23,438;2018-02-01
18:26:53;17,578;2018-02-01
18:26:57;23,438;2018-02-01
18:27:01;23,438;2018-02-01
18:27:04;26,367;2018-02-01
18:27:12;23,438;2018-02-01
18:27:16;23,438;2018-02-01
18:27:19;20,508;2018-02-01
18:27:23;23,438;2018-02-01
18:27:27;23,438;2018-02-01
18:27:30;23,438;2018-02-01
18:27:34;20,508;2018-02-01
18:27:38;20,508;2018-02-01
18:27:45;20,508;2018-02-01
18:27:41;23,438;2018-02-01
18:27:49;17,578;2018-02-01
18:27:53;20,508;2018-02-01
18:27:56;17,578;2018-02-01
18:28:00;23,438;2018-02-01
18:28:04;17,578;2018-02-01
18:28:07;23,438;2018-02-01
18:28:15;26,367;2018-02-01
18:28:18;23,438;2018-02-01
18:28:11;20,508;2018-02-01
18:28:22;20,508;2018-02-01
18:28:26;20,508;2018-02-01
18:28:30;23,438;2018-02-01
18:28:37;26,367;2018-02-01
18:28:41;23,438;2018-02-01
18:28:33;23,438;2018-02-01
18:28:44;26,367;2018-02-01
18:28:48;17,578;2018-02-01
18:28:52;23,438;2018-02-01
18:28:56;23,438;2018-02-01
18:28:59;23,438;2018-02-01
18:29:07;23,438;2018-02-01
18:29:10;23,438;2018-02-01
18:29:14;23,438;2018-02-01
18:29:03;35,156;2018-02-01
18:29:18;20,508;2018-02-01
18:29:21;20,508;2018-02-01
18:29:29;41,016;2018-02-01
18:29:25;14,648;2018-02-01
18:29:33;8,789;2018-02-01
18:29:36;38,086;2018-02-01
18:29:40;29,297;2018-02-01
18:29:44;23,438;2018-02-01
18:29:47;23,438;2018-02-01
18:29:51;23,438;2018-02-01
18:29:55;26,367;2018-02-01
18:30:06;20,508;2018-02-01
18:30:10;17,578;2018-02-01
18:30:13;20,508;2018-02-01
18:30:17;41,016;2018-02-01
18:30:21;26,367;2018-02-01
18:30:24;20,508;2018-02-01
18:30:28;17,578;2018-02-01
18:30:32;26,367;2018-02-01
18:30:35;20,508;2018-02-01
18:30:39;17,578;2018-02-01
18:30:43;23,438;2018-02-01
18:30:46;20,508;2018-02-01
18:30:50;20,508;2018-02-01
18:30:54;26,367;2018-02-01
18:30:58;23,438;2018-02-01
18:31:01;23,438;2018-02-01
18:31:05;17,578;2018-02-01
18:31:09;20,508;2018-02-01
18:31:12;32,227;2018-02-01
18:31:16;20,508;2018-02-01
18:31:20;26,367;2018-02-01
18:31:27;17,578;2018-02-01
18:31:31;23,438;2018-02-01
18:31:35;32,227;2018-02-01
18:31:38;26,367;2018-02-01
18:31:42;23,438;2018-02-01
18:31:46;11,719;2018-02-01
18:31:49;20,508;2018-02-01
18:31:53;20,508;2018-02-01
18:32:00;5,859;2018-02-01
18:32:08;26,367;2018-02-01
18:32:15;23,438;2018-02-01
18:31:57;23,438;2018-02-01
18:32:23;20,508;2018-02-01
18:32:19;17,578;2018-02-01
18:32:26;17,578;2018-02-01
18:32:30;23,438;2018-02-01
18:32:34;26,367;2018-02-01
18:32:37;11,719;2018-02-01
18:32:41;20,508;2018-02-01
18:32:45;11,719;2018-02-01
18:32:52;11,719;2018-02-01
18:32:56;23,438;2018-02-01
18:33:00;20,508;2018-02-01
18:33:03;23,438;2018-02-01
18:33:11;20,508;2018-02-01
18:33:07;26,367;2018-02-01
18:33:14;23,438;2018-02-01
18:33:18;20,508;2018-02-01
18:33:22;38,086;2018-02-01
18:33:26;23,438;2018-02-01
18:33:29;29,297;2018-02-01
18:33:40;11,719;2018-02-01
18:33:44;14,648;2018-02-01
18:33:48;23,438;2018-02-01
18:33:37;32,227;2018-02-01
18:33:51;23,438;2018-02-01
18:33:55;14,648;2018-02-01
18:33:59;20,508;2018-02-01
18:34:03;20,508;2018-02-01
18:34:10;23,438;2018-02-01
18:34:14;23,438;2018-02-01
18:34:17;8,789;2018-02-01
18:34:21;23,438;2018-02-01
18:34:28;17,578;2018-02-01
18:34:32;14,648;2018-02-01
18:34:36;17,578;2018-02-01
18:34:06;20,508;2018-02-01
18:34:40;23,438;2018-02-01
18:34:47;35,156;2018-02-01
18:34:51;23,438;2018-02-01
18:34:54;29,297;2018-02-01
18:34:25;23,438;2018-02-01
18:34:58;17,578;2018-02-01
18:35:02;32,227;2018-02-01
18:35:05;23,438;2018-02-01
18:35:09;23,438;2018-02-01
18:35:17;29,297;2018-02-01
18:35:20;23,438;2018-02-01
18:35:13;23,438;2018-02-01
18:35:24;23,438;2018-02-01
18:35:28;23,438;2018-02-01
18:35:31;23,438;2018-02-01
18:35:35;17,578;2018-02-01
18:35:39;23,438;2018-02-01
18:35:42;8,789;2018-02-01
18:35:46;17,578;2018-02-01
18:35:50;32,227;2018-02-01
18:36:01;23,438;2018-02-01
18:35:57;11,719;2018-02-01
18:36:05;29,297;2018-02-01
18:36:12;32,227;2018-02-01
18:36:16;20,508;2018-02-01
18:36:08;20,508;2018-02-01
18:36:19;23,438;2018-02-01
18:36:23;23,438;2018-02-01
18:36:31;23,438;2018-02-01
18:36:34;29,297;2018-02-01
18:36:42;20,508;2018-02-01
18:36:45;5,859;2018-02-01
18:36:49;17,578;2018-02-01
18:36:57;20,508;2018-02-01
18:37:00;20,508;2018-02-01
18:37:04;32,227;2018-02-01
18:37:08;38,086;2018-02-01
18:36:53;29,297;2018-02-01
18:37:11;38,086;2018-02-01
18:37:15;0;2018-02-01
18:37:19;29,297;2018-02-01
18:37:22;17,578;2018-02-01
18:37:26;17,578;2018-02-01
18:37:30;20,508;2018-02-01
18:37:34;29,297;2018-02-01
18:37:37;20,508;2018-02-01
18:37:41;20,508;2018-02-01
18:37:45;26,367;2018-02-01
18:37:48;23,438;2018-02-01
18:37:52;23,438;2018-02-01
18:37:56;20,508;2018-02-01
18:37:59;8,789;2018-02-01
18:38:03;17,578;2018-02-01
18:38:11;17,578;2018-02-01
18:38:18;17,578;2018-02-01
18:38:22;14,648;2018-02-01
18:38:25;20,508;2018-02-01
18:38:29;20,508;2018-02-01
18:38:07;17,578;2018-02-01
18:38:33;17,578;2018-02-01
18:38:37;17,578;2018-02-01
18:38:40;14,648;2018-02-01
18:38:48;17,578;2018-02-01
18:38:44;35,156;2018-02-01
18:38:55;14,648;2018-02-01
18:38:51;17,578;2018-02-01
18:38:59;32,227;2018-02-01
18:39:02;20,508;2018-02-01
18:39:06;20,508;2018-02-01
18:39:10;17,578;2018-02-01
18:39:14;23,438;2018-02-01
18:39:21;17,578;2018-02-01
18:39:17;17,578;2018-02-01
18:39:28;5,859;2018-02-01
18:39:25;26,367;2018-02-01
18:39:32;14,648;2018-02-01
18:39:36;17,578;2018-02-01
18:39:39;5,859;2018-02-01
18:39:43;17,578;2018-02-01
18:39:47;20,508;2018-02-01
18:39:54;8,789;2018-02-01
18:39:51;23,438;2018-02-01
18:40:02;17,578;2018-02-01
18:39:58;17,578;2018-02-01
18:40:05;17,578;2018-02-01
18:40:13;17,578;2018-02-01
18:40:09;23,438;2018-02-01
18:40:20;17,578;2018-02-01
18:40:16;23,438;2018-02-01
18:40:24;35,156;2018-02-01
18:40:28;20,508;2018-02-01
18:40:31;17,578;2018-02-01
18:40:35;14,648;2018-02-01
18:40:39;35,156;2018-02-01
18:40:42;23,438;2018-02-01
18:40:46;17,578;2018-02-01
18:40:50;23,438;2018-02-01
18:40:53;20,508;2018-02-01
18:40:57;23,438;2018-02-01
18:41:05;17,578;2018-02-01
18:41:08;17,578;2018-02-01
18:41:16;20,508;2018-02-01
18:41:19;8,789;2018-02-01
18:41:12;17,578;2018-02-01
18:41:23;2,93;2018-02-01
18:41:27;26,367;2018-02-01
18:41:30;20,508;2018-02-01
18:41:34;20,508;2018-02-01
18:41:38;17,578;2018-02-01
18:41:42;14,648;2018-02-01
18:41:45;20,508;2018-02-01
18:41:56;23,438;2018-02-01
18:41:53;17,578;2018-02-01
18:42:00;17,578;2018-02-01
18:42:04;29,297;2018-02-01
18:42:07;17,578;2018-02-01
18:42:15;11,719;2018-02-01
18:42:19;29,297;2018-02-01
18:42:11;17,578;2018-02-01
18:42:22;20,508;2018-02-01
18:42:26;17,578;2018-02-01
18:42:33;20,508;2018-02-01
18:42:37;17,578;2018-02-01
18:42:30;17,578;2018-02-01
18:42:41;14,648;2018-02-01
18:42:44;11,719;2018-02-01
18:42:48;14,648;2018-02-01
18:42:52;17,578;2018-02-01
18:42:56;17,578;2018-02-01
18:42:59;8,789;2018-02-01
18:43:07;14,648;2018-02-01
18:43:03;20,508;2018-02-01
18:43:10;17,578;2018-02-01
18:43:14;29,297;2018-02-01
18:43:18;20,508;2018-02-01
18:43:21;20,508;2018-02-01
18:43:25;14,648;2018-02-01
18:43:29;26,367;2018-02-01
18:43:33;11,719;2018-02-01
18:43:36;14,648;2018-02-01
18:43:40;17,578;2018-02-01
18:43:44;26,367;2018-02-01
18:43:47;20,508;2018-02-01
18:43:51;20,508;2018-02-01
18:43:55;20,508;2018-02-01
18:43:58;14,648;2018-02-01
18:44:02;17,578;2018-02-01
18:44:06;20,508;2018-02-01
